1 35.875;35.65625
2 35.875;30.5625
3 41.0;30.5625
4 41.0;35.65625
5 35.875;40.75
6 35.875;35.65625
7 41.0;35.65625
8 41.0;40.75
9 41.0;5.09375
10 41.0;0.0
11 46.125;0.0
12 46.125;5.09375
13 46.125;5.09375
14 46.125;0.0
15 51.25;0.0
16 51.25;5.09375
17 41.0;10.1875
18 41.0;5.09375
19 46.125;5.09375
20 46.125;10.1875
21 46.125;10.1875
22 46.125;5.09375
23 51.25;5.09375
24 51.25;10.1875
25 51.25;10.1875
26 51.25;0.0
27 61.5;0.0
28 61.5;10.1875
29 41.0;15.28125
30 41.0;10.1875
31 46.125;10.1875
32 46.125;15.28125
33 46.125;15.28125
34 46.125;10.1875
35 51.25;10.1875
36 51.25;15.28125
37 41.0;20.375
38 41.0;15.28125
39 46.125;15.28125
40 46.125;20.375
41 46.125;20.375
42 46.125;15.28125
43 51.25;15.28125
44 51.25;20.375
45 51.25;20.375
46 51.25;10.1875
47 61.5;10.1875
48 61.5;20.375
49 61.5;10.1875
50 61.5;0.0
51 71.75;0.0
52 71.75;10.1875
53 71.75;10.1875
54 71.75;0.0
55 82.0;0.0
56 82.0;10.1875
57 61.5;20.375
58 61.5;10.1875
59 71.75;10.1875
60 71.75;20.375
61 71.75;15.28125
62 71.75;10.1875
63 76.875;10.1875
64 76.875;15.28125
65 76.875;15.28125
66 76.875;10.1875
67 82.0;10.1875
68 82.0;15.28125
69 71.75;20.375
70 71.75;15.28125
71 76.875;15.28125
72 76.875;20.375
73 76.875;20.375
74 76.875;15.28125
75 82.0;15.28125
76 82.0;20.375
77 41.0;30.5625
78 41.0;20.375
79 51.25;20.375
80 51.25;30.5625
81 51.25;30.5625
82 51.25;20.375
83 61.5;20.375
84 61.5;30.5625
85 41.0;35.65625
86 41.0;30.5625
87 46.125;30.5625
88 46.125;35.65625
89 46.125;35.65625
90 46.125;30.5625
91 51.25;30.5625
92 51.25;35.65625
93 41.0;40.75
94 41.0;35.65625
95 46.125;35.65625
96 46.125;40.75
97 46.125;40.75
98 46.125;35.65625
99 51.25;35.65625
100 51.25;40.75
101 51.25;40.75
102 51.25;30.5625
103 61.5;30.5625
104 61.5;40.75
105 61.5;30.5625
106 61.5;20.375
107 71.75;20.375
108 71.75;30.5625
109 71.75;25.46875
110 71.75;20.375
111 76.875;20.375
112 76.875;25.46875
113 76.875;25.46875
114 76.875;20.375
115 82.0;20.375
116 82.0;25.46875
117 71.75;30.5625
