1 6;2;86
2 6;94;86
3 146;6;94
4 146;150;94
5 18;10;14
6 18;22;14
7 22;14;26
8 22;23;26
9 30;18;22
10 30;34;22
11 34;22;23
12 34;46;23
13 46;26;50
14 46;58;50
15 38;30;34
16 38;42;34
17 42;34;46
18 42;43;46
19 78;38;42
20 78;41;42
21 41;42;43
22 41;82;43
23 82;46;58
24 82;106;58
25 58;50;54
26 58;62;54
27 62;54;218
28 62;250;218
29 106;58;62
30 106;110;62
31 70;62;66
32 70;74;66
33 74;66;250
34 74;249;250
35 110;70;74
36 110;114;74
37 114;74;249
38 114;115;249
39 86;78;82
40 86;102;82
41 102;82;106
42 102;126;106
43 94;86;90
44 94;98;90
45 98;90;102
46 98;99;102
47 150;94;98
48 150;154;98
49 154;98;99
50 154;158;99
51 158;102;126
52 158;170;126
53 126;106;110
54 126;130;110
55 118;110;114
56 118;122;114
57 122;114;115
58 122;123;115
59 130;118;122
60 130;134;122
61 134;122;123
62 134;135;123
63 170;126;130
64 170;186;130
65 138;130;134
66 138;142;134
67 142;134;135
68 142;143;135
69 186;138;142
70 186;190;142
71 190;142;143
72 190;191;143
73 145;146;150
74 145;149;150
75 149;150;154
76 149;153;154
77 153;154;158
78 153;157;158
79 157;158;162
80 157;166;162
81 166;162;170
82 166;178;170
83 165;166;178
84 165;202;178
85 178;170;174
86 178;182;174
87 182;174;186
88 182;194;186
89 202;178;182
90 202;206;182
91 206;182;194
92 206;210;194
93 194;186;190
94 194;198;190
95 198;190;191
96 198;199;191
97 210;194;198
98 210;214;198
99 214;198;199
100 214;215;199
101 201;202;206
102 201;205;206
103 205;206;210
104 205;209;210
105 209;210;214
106 209;213;214
107 213;214;215
108 213;216;215
109 226;218;222
110 226;230;222
111 230;222;234
112 230;242;234
113 250;226;230
114 250;254;230
115 254;230;242
116 254;255;242
117 242;234;238
118 242;246;238
119 246;238;239
120 246;247;239
121 255;242;246
122 255;245;246
123 245;246;247
124 245;248;247
125 249;250;254
126 249;253;254
127 253;254;255
128 253;256;255
129 270;258;262
130 270;286;262
131 286;262;266
132 286;290;266
133 290;266;267
134 290;302;267
135 274;270;286
136 274;294;286
137 278;274;294
138 278;314;294
139 282;278;314
140 282;283;314
141 322;282;283
142 322;338;283
143 294;286;290
144 294;298;290
145 298;290;302
146 298;306;302
147 314;294;298
148 314;297;298
149 297;298;306
150 297;318;306
151 306;302;303
152 306;310;303
153 318;306;310
154 318;309;310
155 309;310;311
156 309;319;311
157 338;314;318
158 338;317;318
159 317;318;319
160 317;339;319
161 326;322;338
162 326;327;338
163 330;326;327
164 330;331;327
165 334;330;331
166 334;335;331
167 342;334;335
168 342;358;335
169 358;338;339
170 358;359;339
171 346;342;358
172 346;347;358
173 350;346;347
174 350;351;347
175 354;350;351
176 354;355;351
177 353;354;355
178 353;357;355
179 357;358;359
180 357;360;359
181 370;362;382
182 370;390;382
183 365;366;370
184 365;374;370
185 374;370;390
186 374;406;390
187 378;374;406
188 378;379;406
189 418;378;379
190 418;450;379
191 390;382;386
192 390;394;386
193 394;386;398
194 394;402;398
195 406;390;394
196 406;393;394
197 393;394;402
198 393;410;402
199 402;398;399
200 402;403;399
201 410;402;403
202 410;411;403
203 450;406;410
204 450;454;410
205 414;410;411
206 414;415;411
207 454;414;415
208 454;455;415
209 426;418;450
210 426;427;450
211 434;422;426
212 434;438;426
213 438;426;427
214 438;466;427
215 429;430;442
216 429;441;442
217 442;434;438
218 442;446;438
219 446;438;466
220 446;447;466
221 441;442;446
222 441;445;446
223 445;446;447
224 445;465;447
225 466;450;454
226 466;470;454
227 458;454;455
228 458;462;455
229 470;458;462
230 470;474;462
231 474;462;553
232 474;570;553
233 465;466;470
234 465;477;470
235 478;470;474
236 478;482;474
237 482;474;570
238 482;578;570
239 477;478;482
240 477;481;482
241 481;482;578
242 481;577;578
243 502;486;490
244 502;514;490
245 514;490;494
246 514;493;494
247 493;494;518
248 493;534;518
249 506;498;502
250 506;510;502
251 510;502;514
252 510;511;514
253 554;506;510
254 554;558;510
255 558;510;511
256 558;566;511
257 566;514;534
258 566;590;534
259 534;518;522
260 534;521;522
261 521;522;526
262 521;538;526
263 538;526;530
264 538;542;530
265 542;530;531
266 542;543;531
267 590;534;538
268 590;545;538
269 546;538;542
270 546;550;542
271 550;542;543
272 550;594;543
273 545;546;550
274 545;549;550
275 549;550;594
276 549;598;594
277 553;554;558
278 553;562;558
279 562;558;566
280 562;563;566
281 574;562;563
282 574;586;563
283 586;566;590
284 586;587;590
285 578;570;574
286 578;582;574
287 582;574;586
288 582;583;586
289 577;578;582
290 577;581;582
291 581;582;583
292 581;585;583
293 585;586;587
294 585;589;587
295 589;590;598
296 589;617;598
297 598;594;595
298 598;602;595
299 606;598;602
300 606;610;602
301 610;602;603
302 610;611;603
303 614;606;610
304 614;615;610
305 615;610;611
306 615;612;611
307 618;614;615
308 618;619;615
309 617;618;619
310 617;620;619
